token;sentimento
Hidrovias do Brasil (HBSA3) lucra 5 vezes mais no segundo trimestre, a R$ 117,9 milhões;1
Itaúsa (ITSA4) lucra R$ 3,59 bilhões no 2º tri, alta anual de 17% anuncia emissão de novas ações;1
Desktop (DESK3) tem lucro ajustado de R$ 33 milhões no segundo trimestre, alta anual de 460%;1
Ser Educacional (SEER3) reverte prejuízo e tem lucro líquido de R$ 31,3 milhões no segundo trimestre;1
Brisanet (BRIT3) reverte prejuízo e lucra R$ 43,9 milhões no segundo trimestre;1
Eletrobras (ELET6): Wilson Ferreira Junior renuncia ao cargo de CEO Ivan Monteiro é eleito para a posição;0
Cruzeiro do Sul (CSED3) tem lucro ajustado de R$ 51,1 mi no segundo trimestre, alta anual de 110,9%;1
Multi (MLAS3) tem queda de 21,7% do lucro no 2º tri na base anual, mas reverte perdas dos primeiros três meses do ano;0
Gafisa (GFSA3) tem prejuízo líquido de R$ 88,8 milhões no segundo trimestre;-1
Haddad faz retratação após mal-entendido com Lira: “Eu sou só elogios para a Câmara”;0
Ficou sabendo? Petrobras firma parceria com Caixa;1
Tesla corta preços na China;0
E mais: Netflix planeja tornar seus jogos disponíveis ​​em mais dispositivos.;1
Prejuízo da BRF cresce para R$ 1,3 bi no 2º trimestre;-1
Dona da Perdigão e Sadia teve Ebitda de R$ 1 bilhão.;0
Após cortar custos, XP vê lucro subir 7% no 2º tri;1
Desempenho das receitas permaneceu pressionado pelo ambiente macroeconômico..;-1
ChatBTC, inteligência artificial focada em bitcoin, chega ao mercado;0
A nova ferramenta é concorrente do chatGPT, e promete ser uma nova era para o ecossistema da maior criptomoeda da história.;0
Prazo para declarar imóvel rural começa nesta segunda-feira;0
Declaração do Imposto sobre a Propriedade Territorial Rural (DITR) [ode ser enviada até 29 de setembro.;0
Gestora da China deixa de pagar investidores e alarma mercado;-1
Conglomerado financeiro misterioso ganhou destaque após clientes divulgarem atrasos em pagamentos.;-1
Futuro da Disney vira tema entre elite de Hollywood após fala de executivo;0
Os três negócios que impulsionarão o maior crescimento nos próximos cinco anos, disse ele, são os estúdios de cinema, os parques temáticos e o streaming de vídeo da empresa.;0
IBest 2023: InvestNews é finalista na categoria investimentos veja como votar;0
Público pode escolher seu canal preferido até 17 de setembro.;0
Boletim Focus: mercado vê mais crescimento este ano e menos inflação em 2024;1
Para o PIB, a estimativa de crescimento em 2023 subiu 0,03 ponto, chegando a 2,29%.;1
Ibovespa fecha em queda e marca maior sequência de perdas desde 1984;-1
Puxado por ações de commodities, indicador recuou pela décima sessão consecutiva dólar avançou.;-1
Montenegro propõe redução ainda em 2023 das taxas do IRS exceto no último escalão;0
Na tradicional Festa do Pontal que marca a rentrée política dos sociais-democratas, Luís Montenegro avançou com um programa global de reforma fiscal do qual fazem parte cinco medidas imediatas.;1
Meo rejeita violação das normas e impugna decisão judicial da Anacom;0
A Autoridade Nacional de Comunicações (Anacom) aplicou à Meo, da Altice Portugal, em cúmulo jurídico, uma coima única no valor de 117.500 euros por incumprimento em cinco situações.;0
S&P 500 e Nasdaq ganham tração com força da Nvidia;1
As bolsas norte-americanas encerraram em alta, com as tecnologias a darem o mote à tendência.;1
Angola registou em julho uma inflação de 12,12%;-1
O nível geral do Índice de Preços no Consumidor da província de Luanda, onde se situa a capital, registou uma variação de 2,18% de junho a julho de 2023.;-1
Criação de emprego no Estado avança ao ritmo mais lento desde o início de 2018;-1
No final de junho deste ano, existiam 745.707 funcionários públicos, mais 4.560 postos de trabalho do que em igual período de 2022. Face ao primeiro trimestre verificou-se uma estagnação.;-1
Moçambique ainda pode colocar mais 168,5 milhões de euros em obrigações do Tesouro este ano;0
Dados da Bolsa de Valores de Moçambique (BVM) compilados hoje pela Lusa indicam que já foram feitas 12 emissões em 2023, com maturidades de até 10 anos e juros que variam entre os 17 e 19%.;0
Subida do preço do arroz sem impacto imediato em Portugal, diz CAP;0
No entanto, advertiu Luís Mira, daqui a algum tempo é possível que venha a sentir-se em Portugal este aumento do preço do arroz, embora não de forma exagerada.;-1
Dia morno na Europa com política monetária e China a pesarem;0
Acompanhe aqui, minuto a minuto, o desempenho dos mercados durante esta segunda-feira.;0
Digi fatura mais 31% e ganha 1,4 milhões de clientes em Espanha;1
A operadora romena que também já está licenciada para o mercado português fechou a primeira metade do ano com receitas de quase 300 milhões de euros no país vizinho.;0
Lisboa fecha em leve queda pressionada por energéticas;-1
A bolsa portuguesa encerrou com perdas ligeiras na primeira sessão da semana, num dia em que as principais praças europeias se dividem entre ganhos e perdas. O setor energético penalizou o PSI, com a Galp a liderar as quedas.;-1
Banco central russo reúne-se de emergência após queda do rublo;-1
O banco central russo anunciou esta segunda-feira que realizará uma reunião extraordinária amanhã, 15 de agosto, para tomar decisões sobre as taxas de juro.;0
Maior distribuidora de eletricidade do Havai acusada de causar incêndios;0
A ação argumenta que a Hawaiian Electric, que fornece eletricidade a 95% do estado, indesculpavelmente deixou as suas linhas de energia operacionais durante as condições previstas de alto risco de incêndio.;0
Contas da Foxconn batem estimativas mas guidance revisto em baixa;0
A empresa que monta 70% dos iPhones apresentou resultados do segundo trimestre melhores do que o esperado, mas espera pior faturação na segunda metade do ano.;0
Donos da Juventus tornam-se maiores acionistas da Philips;0
A Exor, veículo de investimento da família Agnelli, tornou-se o maior acionista da Philips. A empresa liderada por John Elkann investiu cerca de 2,6 mil milhões de euros para comprar uma participação de 15% na gigante com sede nos Países Baixos.;0
Os verdadeiros culpados da inflação;0
Se a Reserva Federal dos EUA e o BCE tivessem posto fim às suas compras de ativos assim que os mercados financeiros estivessem estabilizados no início de 2020, a inflação subjacente poderia estar hoje em torno de 3%, em vez de 5%.;0
Há mais um gigante chinês em apuros e já há uma task-force para investigar;-1
O regulador da banca chinesa criou um grupo de trabalho para avaliar a possibilidade de o Zhongzhi Enterprise Group entrar em incumprimento, depois de uma subsidiária ter falhado o pagamento de produtos de elevado retorno.;-1
Receitas do turismo sobem mais de 30% até junho. Preços em Lisboa e no Porto em máximos históricos;1
O Algarve, apesar de ter sido a única região a registar quedas nas dormidas, concentrou quase 30% dos proveitos do setor que continua a bater recordes à boleia do crescimento do número de turistas e dos preços. Os valores mais elevados das dormidas foram registados na Grande Lisboa e no Algarve.;1
Poupança com isenção de IVA impulsiona compras fora do cabaz de produtos essenciais;1
Estudo da Kantar Portugal, analisado pela Centromarca, mostra que folga dada pelo IVA pôs consumidores a comprar mais itens fora do cabaz essencial. Cervejas, marisco e pastelaria figuram entre as categorias de produtos que mais cresceram no segundo trimestre.;1
Movimentos de passageiros nos aeroportos em valores máximos;1
O movimento de passageiros nos aeroportos portugueses atingiu valores máximos no primeiro semestre deste ano, com uma subida de 28%. Só em junho movimentaram-se 6,4 milhões de passageiros, num aumento de 11,6% face a período homólogo. São mais de cem mil passageiros por dia.;1
Exportações portuguesas de frutas, legumes e flores sobem 8% para mais de 1.000 milhões;1
Vendas de frutas, legumes e flores aumentaram em 8% em valor, mas registaram descida na ordem dos 13% em termos de volume.;0
Ibovespa fecha pela 10º vez seguida em queda;-1
Investidores do Ibovespa foram influenciados pelas notícias do setor imobiliário da China, que segue patinando e preocupando o exterior;-1
Mercado eleva para 2,29% projeção do crescimento da economia em 2023;1
A previsão do mercado financeiro para o crescimento da economia brasileira este ano subiu de 2,26% para 2,29%. A estimativa está no boletim Focus de hoje (14), pesquisa divulgada semanalmente pelo Banco Central (BC), em Brasíulia, com a projeção para os principais indicadores econômicos.  Para o próximo ano, a expectativa para o Produto Interno Bruto&#160(PIB, a ;1
A Cooperação China-África;0
A China é o maior país em desenvolvimento no mundo. A África é o continente com o maior número de países em desenvolvimento. A relação econômica China-África desenvolveu-se rapidamente nas últimas duas décadas. A China aumentou seu investimento na África nas últimas quatro décadas. Os fluxos aumentaram de US$ 75 milhões (2003) para US$ 5 [&#8230];1
Ibovespa opera em queda com Focus, IBC-Br e  balanços no radar;-1
O Ibovespa opera em queda nesta segunda-feira (14), com os investidores reagindo aos dados do IBC-Br e do Boletim Focus. Os resultados trimestrais divulgados nos últimos dias, e a enxurrada que virá hoje também segue no radar do mercado. Por volta das 10h40, o principal índice da bolsa brasileira opera em queda de 0,88%, cotado ;-1
Temporada de balanços no Brasil, IBC-Br, Focus e o que move o mercado hoje;0
Os índices futuros dos Estados Unidos operam em alta nesta segunda-feira (14), em semana que conta com a ata do Fomc e dados de inflação na zona do euro. O mercado buscará mais detalhes sobre como os membros do Fed veem o atual momento da economia, apesar do mercado estar apontando que o ciclo de ;0
Agenda da semana: Ata do Fomc e dados de indústria e varejo movem o mercado;0
Os investidores terão mais uma semana agitada para os mercados, uma vez que novos indicadores mostrarão como estão as economias mundiais. Números de vendas no varejo e produção industrial serão divulgados nos Estados Unidos, na China e na zona do euro.  No cenário internacional, os investidores ficarão atentos à ata da última reunião do Federal [&#8230];0
Sites úteis para todo investidor global;0
