token;sentimento
Iguatemi (IGTI11) reverte prejuízo e tem lucro de R$ 77,3 milhões no segundo trimestre;1
Petrobras (PETR4) aumenta preço de querosene de aviação em 4,2% em reajuste mensal;0
Log Commercial (LOGG3) vende ativos em Aracaju e Londrina por R$ 207,4 milhões;0
Fitch rebaixa rating dos EUA de AAA para AA+, com perspectiva estável Yellen critica decisão;-1
Movida (MOVI3) fará recompra de até US$ 175 milhões de títulos externos;-1
Alper Seguros (APER3) lucra 113,6% a mais no segundo trimestre de 2023, a R$ 8,2 milhões;1
Menor percepção de risco de recessão nos EUA impulsiona ações da Nyse fora do setor de tecnologia;1
Petrobras (PETR4) apresenta planos para Lula em reunião não tratou de preços, diz CEO;0
Vulcabras (VULC3) tem lucro de R$ 133,8 mi no 2º tri, alta de 41%, e estuda aumentar distribuição de dividendos;1
Cielo (CIEL3) tem lucro recorrente de R$ 486 mi no 2º tri, alta de 26,8% empresa pagará R$ 197 mi em JCP;1
Ficou sabendo? Meta prepara chatbots para reter usuários promessas da China;0
E mais: Eneva ainda mira campos da Petrobras que tiveram venda suspensa.;0
Santander Brasil anuncia acordo para compra de fatia de 65% na FIT Energia;1
Conclusão da operação estará sujeita ao cumprimento de determinadas condições suspensivas.;0
Fitch rebaixa rating dos EUA de “AAA” para “AA+” Yellen critica decisão;-1
Agência citou esperada deterioração fiscal nos próximos três anos.;-1
Cielo tem lucro líquido de R$ 708,5 mi no 2° tri, alta anual de 11,5%;1
A companhia teve Ebitda R$ 1,43 bilhão, avanço de 20,9% na base anual.;1
Novas regras de compras do exterior devem ter  impacto no e-commerce brasileiro;0
Mudanças passaram a valer nesta terça Empresas como Shein e AliExpress vão aderir ao Remessa Conforme.;0
Ação da Tupperware salta 800% em duas semanas com ‘meme trade’;1
Apesar da alta, empresa tem dado alerta sobre problemas financeiros.;-1
Privatização da Sabesp: avanço é positivo, mas faltam detalhes ação recua;1
Avaliação é de analistas, após o governador de SP dar informações sobre o modelo do processo pretendido para a companhia.;0
Indústria surpreende e cresce em junho pelo 2º mês, mas sem recuperar perdas;1
Setor ainda está num patamar de produção equivalente ao começo de 2009.;-1
Ibovespa fecha em queda com Vale e Petrobras dólar sobe;-1
Mercado também repercutiu balanços financeiros e aguarda decisão do Copom na quarta-feira (2).;0
Novas regras para compras de importados começam a vigorar nesta terça;0
Compras online de até US$ 50 ficam isentas da cobrança de imposto.;1
Trump indiciado na investigação sobre conspirações nas eleições de 2020;-1
Esta é a terceira vez que o ex-presidente dos EUA é formalmente acusado em apenas quatro meses.;-1
21 mil pensionistas perdem CSI com reavaliação de rendimentos;0
Número de beneficiários afundou, após reavaliação de rendimentos que ditou o fim do CSI a 21 mil pessoas. Contudo, para quem manteve o apoio o valor subiu 32%. Ao Negócios, o Instituto da Segurança Social diz que globalmente a despesa aumentou e que vai lançar uma campanha para chegar a mais idosos.;0
Apontar o dedo ao BCE;0
Os riscos orçamentais dos programas de compra de dívida são hoje mais claros e demonstráveis nas perdas que os bancos centrais estão a ter nas suas carteiras.;0
Fitch corta rating dos Estados Unidos para AA+;-1
A agência de notação financeira desceu a avaliação da dívida soberana da maior economia mundial, que está agora no segundo nível da escala de qualidade.;-1
Gasolina e diesel valem menos de metade do mercado em julho;-1
A perda de peso dos veículos a combustão interna observada em julho decorreu das quebras nas matrículas nos carros a gasolina e a diesel. Ainda assim, os elétricos e os híbridos plug-in mais do que duplicaram.;0
Wall Street remata primeira sessão de agosto mista;0
Os índices norte-americanos fecharam entre ganhos e perdas, num dia em que os investidores avaliaram mais dados económicos e contas trimestrais.;0
O risco de pôr as fichas no Turismo;-1
A propaganda oficial esquece que a principal razão para o crescimento acima das previsões no primeiro trimestre foi? o Turismo. Ora isso mostra o risco que o país corre ao colocar neste setor o papel de motor económico.;0
China pede a bancos para adiarem compra de dólares;-1
As autoridades chinesas têm-se comprometido em deixar que sejam os fatores de mercado a ditar a evolução do yuan, mas a sua preocupação tornou-se evidente no mês passado quando o Politburo fez uma rara referência à necessidade de estabilidade cambial.;-1
A doutrina Costa;0
A doutrina Costa está a afastar um dos princípios de equilíbrio da nossa democracia: a capacidade eleitoral do centro decidir as eleições. Este mesmo eleitor, que agora não vota no PS, com receio de que estes se voltem a juntar à extrema-esquerda.;0
JMJ: Cerca de 300.000 pessoas utilizaram até às 17:00 o Metro de Lisboa;0
Segundo a empresa, 300.000 pessoas circularam, entre as 06:30 e as 17:00 de hoje, no Metro de Lisboa, mais 36,6% do que a 1 de agosto de 2022, quando foram registadas 225.000 entradas.;0
