token;sentimento
Em rede social, Jean Paul Prates exalta PAC e papel da Petrobras como estatal;1
Copel conclui processo de transformação em corporação, sem acionista controlador;1
Rui Costa: Não necessariamente haverá placa física solar no condomínio do MCMV;0
Tebet: Teto de gastos foi “absolutamente respeitado” na construção do Novo PAC;1
Previdência privada cresce 2,9% no 1º semestre, e arrecada R$ 77,4 bi, aponta Fenaprevi;1
Mercado vê impacto limitado no País com indicadores ruins da China;1
Megale: teremos poucas notícias muito relevantes na economia daqui até fim do ano;0
Consumidor vai fazer compras com crédito via Pix, diz Campos Neto;1
Lucro dos quatro maiores bancos listados cai 8,7% no 2º trimestre, a R$ 24,3 bilhões;-1
Defesa de Bolsonaro afirma que ele oferecerá sigilo bancário à Justiça;0
Além de empreiteiras, novo PAC beneficia empresas ligadas a construção;1
Especialistas citam companhias de equipamentos, além de outras ligadas a concessões e infraestrutura.;1
Ficou sabendo? Petrobras tem 47 projetos no PAC plano de demissões da Sabesp;0
E mais: BIS prepara sistema para conectar moedas digitais de diferentes países, diz Campos Neto.;1
Prévia do PIB, arcabouço e balanços: 5 assuntos para a próxima semana;0
Fim da safra de balanços do segundo trimestre também marca a semana.;0
Petrobras sofre onda de rebaixamentos e conversa com analistas;-1
Citigroup, HSBC e JPMorgan deixaram de recomendar ação, por receios com as mudanças da nova administração.;-1
Em recuperação, Light sobe mais de 250% na bolsa desde mínima em 2023;1
Distribuidora de energia reportou balanço de resultados em teleconferência.;0
Nubank: investidores têm até esta sexta para decidir o que fazer com BDRs;0
Quem não manifestar sua escolha até o prazo final receberá o valor de venda do BDR.;0
Rentabilidade do ouro, dólar e bitcoin perde para a inflação em julho;-1
É o que mostra levantamento do TradeMap, após IPCA de julho avançar 0,12% no mês passado.;0
Ibovespa fecha em queda pela 9ª sessão seguida. dólar sobe;-1
Mercado segue em busca de pistas sobre o rumo das taxas de juros.;0
Governo prevê R$ 1,7 trilhão em investimentos no novo PAC;1
Pelo menos R$ 612 bilhões serão provenientes do setor privado.;1
Uso do rotativo cresce 108% com pandemia e juros chegam a 1.000%;-1
Os juros médios nessa modalidade superaram os 437% ao ano, mas instituições chegam a cobrar quase 1.000%, segundo o Banco Central.;-1
Três riscos para a economia dos EUA (que podem mexer com Wall Street) em 2024;0
A resiliência da economia norte-americana tem mantido os investidores otimistas em relação às ações do país, mas o Morgan Stanley avisa que poderá ser tempo de preparar um cenário menos favorável.;-1
O hábito que Bill Gates não dispensa - e porquê;0
O confundador da Microsoft, hoje com 67 anos, aprendeu da pior maneira que esta prática diária é essencial para uma boa saúde física e mental. Logo, para o seu negócio.;0
Nova política industrial verde dos EUA faz um ano a reboque dos elétricos;0
Subidas das vendas apoiada por reduções fiscais surge, até aqui, como a face mais bem sucedida do pacote de centenas de milhões de dólares para a transição energética da administração de Joe Biden.;1
Montenegro pede sobressalto para evitar que jovens emigrem;0
