token;sentimento
Haddad fala em “sensibilizar” deputados sobre “offshores” e diz não ter alternativa para compensar atualização do IRPF;-1
Guardado: Vamos perseverar trabalho do BC até que trajeto de desinflação seja consistente;1
Jalles Machado (JALL3) aprova aumento de capital e data de pagamento de dividendos;1
Inflação ainda não nos dá tranquilidade, por expectativas à frente não ancoradas, diz diretor do BC;-1
Lira diz que MP do salário mínimo teve mudanças fora do previsto e ainda não chegou à Câmara;0
Ministro aciona PF e Abin para investigar apagão em 25 Estados e DF;0
Procurador diz que MPF tem em curso negociações de delação premiada no caso Americanas (AMER3);-1
Lira indica votação do arcabouço fiscal só na semana que vem e diz que Senado fez “alterações sérias” ao texto;-1
Biden diz que é hora de fabricar produtos norte-americanos nos EUA;-1
Diretor diz que BC busca “pouso suave”, reduzindo inflação com impacto menor na atividade;1
Ficou sabendo? Tesla lança versões mais baratas de carros riqueza global;1
E mais: Argentina busca maior desembolso do FMI após desvalorização.;0
Nubank registra lucro líquido ajustado de US$ 262,7 milhões no 2º trimestre;1
Já a receita do banco digital de abril a junho foi de US$ 1,9 bilhão.;0
Com rumores sobre ida à Copel, ex-Eletrobras seria ‘CEO da privatização’?;1
Renúncia de Wilson Ferreira pega mercado de surpresa e abre margem para especulações.;-1
Pesquisa do BofA aponta mudança para ações apenas com Selic a 10%;-1
Bank of America (BofA) apontou  que gestores de fundos na América Latina esperam que investidores mudem para ações apenas quando a taxa Selic atingir um menor patamar.;-1
Novo índice da B3 reúne 75 empresas que se destacam em diversidade;0
IDIVERSA B3 é o primeiro índice latino-americano composto por companhias reconhecidas pela diversidade de gênero e raça em seu quadro de colaboradores.;0
Saída de CEO da Eletrobras aumenta especulações sobre ‘divergências’;-1
As ações da companhia de energia elétrica reagem negativamente após anúncio da saída do executivo.;-1
Energia é totalmente restabelecida no Brasil após interrupção;1
Segundo ONS, as causas da interrupção do fornecimento de energia estão sendo apuradas.;1
Após novo prejuízo, Magalu diz que é hora de monetizar ativos da fintech;-1
Ação da varejista chegou a recuar 5% após divulgação de resultados do segundo trimestre na véspera.;-1
Petrobras reduz risco de desabastecimento, mas política de preços é dúvida;1
Reajuste na gasolina e no diesel reduz defasagem, mas ruído com política de preços permanece.;1
Ibovespa recua pelo 11º dia, com Eletrobras no radar dólar sobe;-1
Do cenário externo, mercado repercute notícias negativas da China.;-1
Mota-Engil disputa metro de Bogotá a chineses e espanhóis;0
O consórcio da Mota-Engil e da chinesa CRRC é um dos quatro que querem construir a linha 2 do metro da capital colombiana. A obra pode chegar aos 2 mil milhões de dólares, o que seria o maior contrato de sempre para o grupo português.;0
Demonstrações e matemática;0
Marcelo Rebelo de Sousa vai ter de refrear a sua tentação de dissolver a Assembleia da República para abrir a porta a uma nova solução de poder protagonizada pelo PSD.;0
Vindima-se cada vez mais cedo, mas a culpa  não é só do clima;0
Os efeitos das alterações climáticas têm levado os produtores de vinhos a antecipar cada vez mais as vindimas, mas não são o único fator a explicar por que se apanham uvas desde julho.;0
O Governo não quer intervir nos preços das férias?;0
Se o Governo e a esquerda quisessem ser coerentes, já deveriam ter proposto um congelamento de preços e/ou a criação de quotas para nacionais ou ainda um pacote de ajuda para os portugueses que não podem ir para o Algarve. É que estupidez por estupidez, era só mais uma?;0
Wall Street Blues: Bolsas caem ao som do aumento do consumo;-1
As bolsas nova-iorquinas encerraram no vermelho vítimas de um duplo golpe: a subida acima do esperado nas vendas a retalho nos EUA e os maus indícios económicos vindos da China.;-1
Fundo soberano da Noruega ganha 131 mil milhões de euros até junho à boleia das big tech;1
O maior fundo soberano do mundo está bem encaminhado para um regresso em força aos lucros depois de no ano passado ter sofrido perdas de 151 mil milhões de euros.;1
A CESE da discórdia;-1
Como em qualquer tributo ? não se poderá esquecer que a CESE constitui uma contribuição financeira ?, o legislador teria o ónus constitucional de delimitar, com necessária precisão, qual a base de incidência e respetivos fundamentos que sustentam o princípio da equivalência. Mas, em matéria de CESE, tudo sucede ao contrário.;-1
Más notícias da China pintam Velho Continente de vermelho;-1
Acompanhe aqui, minuto a minuto, o desempenho dos mercados durante esta segunda-feira.;0
Maré vermelha vinda da China atinge Lisboa. EDPR em mínimos desde março de 2021;-1
A bolsa portuguesa acompanhou as congéneres europeias e terminou o dia no vermelho. As praças mundiais estão a ser pressionadas pelos sinais negativos vindos da China. Por cá, a EDP Renováveis caiu até ao valor de fecho mais baixo desde março de 2021.;-1
Empresa sueca SKF confirma três mortos em ataque contra filial ucraniana;-1
A SKF adquiriu uma participação maioritária na fábrica de rolamentos de Lutsk em 1998, segundo informação disponibilizada pela empresa sueca na internet.;0
Tesla lança nos EUA versões mais baratas mas com menos autonomia dos seus topo de gama;1
A fabricante liderada por Elon Musk tenta aumentar as vendas dos seus dois modelos mais caros: o X e o S. Apesar de ter aumentado as vendas destes modelos no segundo trimestre, a empresa indicou que as dificuldades no crédito estão a limitar a procura.;-1
Criador da sigla BRICS diz que moeda única daqueles países é uma ideia ridícula;-1
Lula da Silva é um dos defensores da ideia. Economista Jim O'Neill diz que é quase embaraçoso assistir a esse debate.;-1
Milionários já são mais de 167 mil em Portugal. Nove têm fortunas acima dos 500 milhões;0
A riqueza global diminuiu em 2022 pela primeira vez desde a crise financeira de 2008. Em Portugal, o número de milionários voltou a aumentar, com maior expressão no escalão mais baixo.;0
Confiança dos investidores na Alemanha melhora em agosto mas permanece negativa;0
Apesar da melhoria, este indicador permanece em terreno negativo pelo quarto mês consecutivo.;-1
Associação da Cortiça expressa profunda preocupação com abate de sobreiros pela EDP;-1
A APCOR diz que os danos de curto prazo serão difíceis de compensar.;-1
China deixa de publicar dados sobre desemprego jovem;-1
A medida faz levantar questões de transparência, já que não é a primeira vez que Pequim veda o acesso a dados oficiais.;-1
Taxa de desemprego no Reino Unido sobe para 4,2% no 2.º trimestre;-1
O número de vagas de emprego fixou-se em 1,02 milhões, uma queda de 66.000.;-1
China garante que não há riscos de deflação nem agora, nem no futuro;1
O índice de preços ao consumidor (IPC), o principal indicador da inflação na China, registou uma queda homóloga, de 0,3%, em julho.;1
Marcelo recupera níveis de popularidade do ano passado;0
Depois de meses em queda ou estagnação dos níveis de popularidade, o Presidente da República voltou a subir neste parâmetro do barómetro da Intercampus. A avaliação da imagem do primeiro-ministro também melhorou.;1
Ibovespa fecha em queda pressionado por Petrobras e exterior;-1
No exterior, dados da economia chinesa, que vieram piores do que o esperado, também ajudaram a instaurar um sentimento pessimista no mercado;-1
Segundo Goldman, acionistas da Gol (GOLL4) podem ser diluídos em até 82% ações caem mais de 12%;-1
O Goldman Sachs atualizou sua recomendação para Gol (GOLL4), indicando posição neutra com preço-alvo em R$ 13,50;0
Michael Burry, de “A Grande Aposta”, se posiciona short na bolsa americana entenda;0
O investidor Michael Burry, conhecido pela posição vendida antes da crise de 2008 e representado no filme A Grande Aposta, fez uma nova aposta contra o mercado dos Estados Unidos. Desta vez, o alvo é contra alguns índices da bolsa de valores norte-americana. Conforme reportou uma conta no Twitter que acompanha o movimento do gestor,;-1
Apagão: quais os possíveis motivos do blecaute nacional de hoje (15)?;0
Por volta das 8h30 desta terça, diversos relatos de falta de energia foram reportados em todo o Brasil, afetando 18 estados e o DF;-1
Como Criar Empreendedores: O Impacto dos Pais na Trajetória Empreendedora dosFilhos;0
Ser pai ou mãe é uma das mais gratificantes e desafiadoras tarefas na vida de uma pessoa.Não existem regras fixas e cada criança é única, requerendo abordagens diferenciadas.Mas uma coisa é certa: todos os pais desejam o melhor para seus filhos e querem que elesprosperem na vida. Atrás de todo grande empreendedor, geralmente, há um;0
Apagão no Brasil: Relembre os maiores blecautes no país;0
Por volta das 8h30 desta terça, diversos relatos de falta de energia foram reportados em todo o Brasil, afetando 18 estados e o DF;-1
Adeus, PETR4 e BBAS3? Veja quais são as melhores ações para buscar dividendos em agosto;0
Acaba de ser divulgado o ranking das melhores ações para buscar dividendos no mês de agosto, segundo a Empiricus Research. E para surpresa de alguns investidores, a Petrobras (PETR4) e o Banco do Brasil (BBAS3) ficaram de fora. Embora sejam ações muito conhecidas por pagar proventos “gordos” aos acionistas com recorrência, elas não estão entre;0
