token;sentimento
GPA (PCAR3) avança no processo de segregação do Éxito;0
Carrefour Brasil (CRFB3) tem baixa de 95% no lucro ajustado no segundo trimestre, para R$ 29 milhões;-1
São Carlos (SCAR3) vende imóvel em São José dos Pinhais por R$ 17 milhões;1
Neoenergia (NEOE3) lucra 32% a menos no segundo trimestre, a R$ 728 milhões;-1
PacWest amarga prejuízo no 2º tri, mas ação dispara mais de 30% com anúncio de fusão;0
Isa Cteep (TRPL4) obtém licença de instalação do projeto Minuano no Rio Grande do Sul;1
Banc of California surpreende em lucro após anunciar fusão com o PacWest;1
Banco do Brasil (BBAS3) desembolsou R$ 12 bilhões nos 20 primeiros dias da safra 2023/24;0
Telefônica Brasil (VIVT3) lucra R$ 1,121 bi no segundo trimestre, alta anual de 50,3%;1
Visa (VISA34) registra lucro líquido de US$ 4,2 bi no 3º tri fiscal, alta de 22% na base anual;1
Nubank supera Banco do Brasil em número de clientes e é 4º maior do país;1
Fintech atingiu 85 milhões de clientes em julho deste ano.;0
Expectativas para os juros no Brasil e nos EUA seguem movimentando mercado;0
Programa também apresenta os números do fechamento do mercado.;0
BTG/Pan lidera queixas contra grandes bancos ao BC;-1
Bradesco e banco Inter aparecem na sequência em reclamações no 2º trimestre.;-1
Ficou sabendo? Resultados de Alphabet e Microsoft, privatização da Copel;1
Alphabet supera expectativas para lucro. CFO assumirá novo cargo.;1
Cade recomenda barrar compra de unidade da Nestlé no Brasil pela Lactalis;-1
Negócio foi anunciado no final do ano passado, com a imprensa local citando valor de R$ 700 milhões.;0
Dólar tem maior queda acumulada no ano sobre o real desde 2016;1
Dólar Ptax tem baixa de mais de 9% em 2023 até agora.;1
Bancos são maiores pagadores de JCP. governo estuda extinguir remuneração;-1
Banrisul, Banco do Brasil e ABC Brasil pagaram mais proventos aos acionistas nos últimos 3 anos.;1
Cripto do ChatGPT ameniza ganhos após disparar 110% no lançamento;1
Worldcoin é um projeto criptográfico de escaneamento do globo ocular de Sam Altman, líder da OpenAI.;0
FMI sobe a mais de 2% projeção de crescimento da economia brasileira em 2023;1
Projeção do FMI para 2024, no entanto, foi reduzida.;-1
‘Efeito Desenrola’: descontos em dívidas crescem 97% com programa, diz Serasa;1
1,5 milhão de pagamentos em atraso de até R$ 100 com bancos foram quitados no birô de crédito na primeira semana do programa.;1
Três quartos dos concelhos têm rendimentos abaixo da referência;-1
Mais de 220 municípios do país viram em 2021 o rendimento bruto crescer, mas ficar abaixo da referência nacional. Maioria situa-se na região Norte e Centro. Lisboa e Cascais têm rendimentos mais elevados, mas maior desigualdade na distribuição.;0
As dores da última milha;-1
Para onde quer que se olhe, e mesmo sabendo que travar a inflação é essencial, as economias mais relevantes ainda não escaparam ilesas e mantém-se uma elevada dose de incerteza no horizonte.;-1
Banca regional dos EUA volta a dar nas vistas. Banc of California compra PacWest;1
O acordo deve ser fechado entre o final do ano passado e o início do próximo. No after hours, as ações do PacWest seguem a afundar 26,63%, enquanto os títulos do Banco of California sobem mais de 10%.;0
Impasse nos Açores leva Ryanair a cancelar reservas para o inverno;-1
Deixou de ser possível reservar voos através da Ryanair para Ponta Delgada a partir de novembro. O CEO da companhia aérea irlandesa low cost diz que a decisão sobre saída dos Açores está iminente.;-1
Inflação que guia os bancos centrais pode estar de pedra e cal este ano;0
Aceleração de salários e novas subidas de preços nos serviços, suspensão do acordo de cereais e crise climática ensombram trajetória para estabilização de preços. Mas os economistas sustentam que a ação da política monetária já está a ser eficaz.;0
Maioria de direita cai e PP procura saída em acordo com PSOE;0
Ao fim do segundo dia depois das eleições espanholas, os dois maiores partidos continuam à procura de uma solução governativa. O acordo à direita já se adivinhava difícil, mas ficou impossível. À esquerda, PSOE já recebeu apoio de partidos.;0
Reguladores europeus com Apple e Meta na mira;-1
A fabricante do iPhone viu a Autoridade da Concorrência gaulesa indicar que vai avançar com um processo relacionado com a utilização de dados. Já a dona do Facebook não terá convencido as autoridades europeias das medidas para pôr fim a um processo por abuso de posição dominante.;1
Medina revela que próximo OE não terá cativações. Apoios a crédito à habitação serão reforçados;1
O anúncio foi feito pelo ministro das Finanças no programa Tudo é Economia, da RTP. Este será o primeiro Orçamento em muitos anos que não terá cativações, afirmou. O Orçamento não terá cativações. Isto é, os ministérios terão disponíveis as verbas que estão orçamentadas, frisou.;1
A balbúrdia monetária que não ajuda ninguém;-1
O que é que isto mostra? Comunicação errática do Banco Central Europeu, que nos últimos anos tentou fazer mais de ministério das Finanças da Zona Euro do que de banco central? esquecendo-se que a missão primeira de um banco central é a estabilidade monetária.;0
Receita da Alphabet supera expectativas. Casa-mãe da Google vai trocar de CFO;0
A receita ficou acima do esperado pelos analistas, tendo sido sobretudo impulsionada pelo negócio da publicidade no motor de busca Google.;1
Microsoft sobe faturação anual em 6,9%. Lucros cedem 0,5%;1
A Microsoft registou um ligeiro decréscimo nos lucros do exercício 2022/23 apesar das receitas terem crescido 6,9%, para 211,9 mil milhões de dólares.;1
Contabilista esconde papéis antes das buscas;-1
Os arguidos da Operação Picoas, que visa o cofundador da Altice, Armando Pereira, e o seu braço direito, Hernâni Vaz Antunes, foram avisados da investigação do Ministério Público (MP) duas semanas antes das buscas.;-1
Wall Street fecha no verde. PacWest tomba 27% com acordo de aquisição à vista;-1
O Banc of California está em negociações avançadas para comprar a instituição financeira sediada em Bevery Hills. Além do setor da banca, também as tecnológicas centraram atenções, momentos antes de serem divulgadas as contas trimestrais da Microsoft e Alphabet.;0
Vamos lá então culpar o estrangeiro: a minoria que compra casas em Portugal;-1
Os preços dos imóveis subiram e têm-se mantido altos nos últimos anos porque todos os stakeholders que lidam com o Imobiliário quando estão a vender o(s) ativo(s) que possuem acham que têm entre mãos o Palácio da Pena e esquecem-se que este é apenas um T1.;0
CP chega a acordo com revisores e greve é suspensa;1
A greve dos revisores que iria decorrer na semana da Jornadas Mundiais  da Juventude foi desconvocada. O acordo entre a CP e o sindicato foi assinado esta terça-feira.;1
Águias colocam meio milhão de fan tokens a voar em cerca de 24 horas;1
Esta foi a melhor emissão da Socios.com este ano, segundo fonte oficial da plataforma ao Negócios. Para já não está planeada uma nova emissão de fan tokens das águias. Os criptoativos seguem agora para mercado secundário.;1
Galamba otimista em acordo com sindicato dos revisores para travar greve da CP;1
O SFRCI marcou greve para o período compreendido entre as 00:00 de 21 de julho e as 23:59 do dia 06 de agosto, com a CP a alertar para perturbações na circulação ferroviária, em todos os serviços.;-1
Lucros da Louis Vuitton sobem quase 30% apoiados na China;1
A Louis Vuitton Moët Hennessy (LVMH) viu as vendas crescerem 15% na primeira metade do ano, para 42.240 milhões de euros.;1
EUA regressam oficialmente à UNESCO após hiato de cinco anos;0
A primeira-dama dos Estados Unidos, Jill Biden, participou esta terça-feira numa cerimónia de içar da bandeira norte-americana na UNESCO em Paris, marcando a reentrada oficial de Washington nesta agência da ONU após um hiato de cinco anos.;0
IPCA: Anbima melhora estimativa para inflação de julho e de agosto;1
Moraes derruba mais uma decisão que reconheceu vínculo entre motorista e aplicativo;1
Carrefour (CRFB3) encolhe lucro em 95%, para R$ 29 milhões;-1
Neoenergia (NEOE3): lucro tem queda de 32% no 2T23, para R$ 728 milhões;-1
Telefônica (VIVT3) tem lucro bilionário no 2T23, 50,3% maior na comparação anual resultado supera estimativas;1
Alphabet, dona do Google (GOGL34), surpreende com alta de 14,75% no lucro do 2T23 ação dispara após o pregão em NY;1
MXRF11 cai pela 4ª vez em dia de IFIX estável sessão tem tombo de 9% de outro fundo imobiliário;-1
Nubank (NUBR33) chega a 80 milhões de clientes e ultrapassa Banco do Brasil (BBAS3);1
Depois do resultado do IPCA-15, Selic terá corte em agosto? Analistas respondem;0
Ambev (ABEV3): de olho em “ventos favoráveis”, analistas recomendam ações veja os motivos;1
Ibovespa fecha em alta com mercado reagindo ao IPCA-15;1
Ganhos relacionados aos papéis ligados às commodities metálicas também levaram o Ibovespa a se manter no azul e finalizar o pregão com ganhos;1
FGTS aprova distribuição de R$ 12,7 bilhões a trabalhadores;1
O Conselho Curador do Fundo de Garantia do Tempo de Serviço (FGTS) aprovou, nesta terça-feira (25), a distribuição de quase R$ 12,848 bilhões entre os trabalhadores que têm contas vinculadas ao fundo. O valor total é o resultado líquido positivo obtido pelo FGTS em 2022, ou seja, a diferença entre as receitas (rendas/rendimentos com operações de crédito, com títulos públicos;1
Petrobras registra resultado histórico de eficiência energética e emissões no Refino em junho;1
A intensidade de emissões de gases de efeito estufa no refino, foi no valor de 36,7 kgCO2eq/CWT, e o melhor patamar histórico mensal;1
Dicas práticas para explorar o espírito empreendedor nas crianças;0
Há algumas semanas falei sobre a importância de ensinar empreendedorismo para asnossas crianças. Agora preciso confessar que tive uma ideia genial para estimular oempreendedorismo: criar uma máquina de transformar brócolis em dinheiro! Assim, ascrianças poderiam ganhar uma grana extra e ainda teriam uma boa desculpa para nãocomer vegetais. Brincadeiras à parte, existem diversas maneiras criativas;0
FMI promove forte revisão de alta do PIB no Brasil para 2,1% em 2023;0
O Fundo Monetário Internacional (FMI) divulgou nesta terça-feira (25) novas projeções trimestrais e, desta vez, fez um forte aumento nas estimativas para o crescimento do Produto Interno Bruto (PIB) do Brasil neste ano. O FMI, agora, espera uma alta de 2,1% para 2023, ante projeção anterior de 0,9% em abril. Para 2024, o FMI cortou;1
Governo publica MP que regulamenta apostas esportivas taxação será de 18%;1
As empresas deverão destinar 18% sobre o Gross Gaming Revenue (GGR), a receita obtida com todos os jogos feitos nas apostas esportivas;1
Ibovespa sobe com mercado reagindo ao IPCA-15 bolsa opera no maior patamar em 2 anos;1
O indicador que mostra a  'prévia da inflação', mostrou uma deflação maior do que a esperada pelos investidores do Ibovespa;1
Focus: Mercado reduz previsão da inflação de 4,95% para 4,9% este ano;1
