token;sentimento
Com custo de capital em alta, private equity está evitando a alavancagem de investidas;-1
Concursos públicos têm salários que vão até R$ 33 mil veja vagas;0
IPO do ano em Wall Street sobe 80%, mas ação enfrenta grande teste;0
Dinheiro ‘esquecido’: brasileiros ainda não sacaram R$ 7,12 bilhões em sistema do Banco Central;0
Investidores ESG têm finalmente critérios mais claros para ler relatórios de sustentabilidade veja quais são;1
Ativos de crédito deixaram pior para trás e momento é único para debêntures com isenção de IR, diz Legacy;1
IPCA de junho, dados de serviços, varejo e CPI nos EUA: o que acompanhar na semana;0
BHP busca tecnologia de startup apoiada por Bill Gates para reduzir as emissões na produção de aço;1
Petrobras confirma rompimento de amarras da P-31, mas nega risco para pessoas e o ambiente;-1
Reforma tributária garante cesta básica com alíquota zero, reitera Padilha;1
Mesmo proibida, venda de cigarro eletrônico continua forte no Brasil;-1
Em julho de 2022, Anvisa manteve a proibição da importação e venda, mas produto segue sendo ofertado pela internet e no comércio físico.;-1
Investidor de renda fixa tem que estar em títulos longos, diz analista;0
Marilia Fontes, da Nord, avalia que ainda existem boas oportunidades na renda fixa, mesmo com perspectivas de queda da taxa Selic em breve.;1
Com a Selic caindo, é melhor se desfazer de títulos atrelados a ela?;0
Especialista tira dúvida sobre investimentos envie sua pergunta.;0
FIIs: fundos de tijolo e FOFs foram os mais rentáveis no 1º semestre de 2023;1
Fundo imobiliário de lajes corporativas TEPP11 teve valorização de 37,06% na cota no período.;1
Suzano conclui recompra de 20 milhões de ações;1
Quantia corresponde a R$ 880 milhões.;0
Ficou sabendo? Tesla lança programa de descontos;1
E mais: BofA diz que tecnologia será mais afetada pelo ‘último aumento.;-1
Reforma tributária tem primeiro avanço;1
Programa também apresenta os números do fechamento do mercado.;0
Twitter pode ter dificuldades para provar que Meta roubou segredos comerciais;-1
Porta-voz da Meta disse que nenhum membro da equipe de engenharia do site é um ex-funcionário do Twitter.;1
População da Itália tem mais pessoas com mais de 100 anos do que nunca;-1
Já os nascimentos caíram para uma mínima histórica de 393.000 em 2022.;-1
Câmara conclui votação da reforma tributária, que segue ao Senado;1
Deputados aprovaram o texto-base da proposta em segundo turno por 375 votos a 113.;1
Cem empresas esperam agora mais 10% de jovens no quadro;1
Em janeiro, com 51 empresas, o pacto para o emprego jovem projetava um aumento de 19% de jovens nos quadros em 2026. O número de empresas envolvidas duplicou mas os dados definitivos  de 2022 e as metas assumidas pelas próprias apontam agora para uma subida global de 10%.;1
Cartão de cidadão vai poder servir de título de transporte;1
A nova versão do cartão do cidadão, que começará a ser disponibilizado em 2024, vem com uma renovada tecnologia que lhe permitirá servir como bilhete de transporte ou dar acesso a abertura de conta bancária online. O seguro do carro, cartão de aluno ou cartão de doador vão passar a constar da carteira digital.;1
Lisboa voa em contraciclo;-1
A ideia que fica é que Portugal planeia um novo aeroporto com uma comissão técnica a avaliar propostas que vão em contraciclo com a realidade com que o setor se confrontará no futuro.;-1
Jorge Portugal: Não vamos só avaliar o nível de execução da despesa das agendas mobilizadoras;-1
Mudança nos táxis chega antes do final do ano;1
Marcelo promulgou autorização do Parlamento para o novo regime jurídico. Executivo vai ouvir associações e, segundo informação recolhida pelo Negócios, objetivo é aprovar decreto-lei que fixa mexidas nas tarifas antes de 1 de janeiro.;1
Há projetos do PRR passíveis de falhar prova do mercado;-1
O diretor-geral da COTEC está cético quanto aos resultados das Agendas Mobilizadoras. Jorge Portugal sustenta que os projetos até podem ser executados, mas falharem no que importa: ter valor para o mercado.;-1
Não, dr. Costa, este não é um casinho;-1
A demissão de Capitão Ferreira é a 13.ª do governo em pouco mais de um ano. E é grave porquanto o governante acabou, tal como o ex-secretário de Est1ado Miguel Alves, constituído arguido.;-1
Agendas mobilizadoras: Jorge Portugal diz que em papel todos os consórcios fazem sentido;1
Marques Mendes: Luís Montenegro e Pedro Nuno Santos. Um deles será o próximo PM;0
No seu espaço de opinião habitual na SIC, o comentador Marques Mendes fala sobre a proposta de relatório da CPI à TAP, da demissão do secretário de Estado da Defesa, antevê uma disputa entre Luís Montenegro e Pedro Nuno Santos nas próximas legislativas e fala também sobre a Jornada Mundial da Juventude, entre outros temas.;0
Mais de 50 deputados britânicos têm ações secretas em empresas, diz The Guardian;-1
O regulamento parlamentar em vigor desde 2015 obriga os deputados a declararem as participações que detenham em empresas que representem mais de 15% do património ou quando o seu valor ultrapasse as 70.000 libras (cerca de 82.100 euros).;1
CEO da Claranet Portugal: Digitalização da economia está um pouquinho atrasada;-1
Têm existido avanços, mas o país continua atrás na transformação digital. Temos de ir para a Cloud, diz CEO da Claranet Portugal.;-1
Inovação empresarial deve ser recompensada com incentivos;1
Jorge Portugal defende que faz sentido um sinal do Estado no sentido de reconhecer as empresas que mais investem em inovação. Esse sinal pode passar por incentivos fiscais, aponta o diretor-geral da Cotec.;1
Centeno vê inflação no euro abaixo dos 3% no fim do ano;1
O governador do Banco de Portugal defende que o facto de a inflação subjacente estar a descer mais lentamente não significa que a estratégia do BCE esteja a falar.;-1
A sua semana dia a dia: Inflação e banca em destaque nos EUA. Portugal vai ao mercado;0
Os EUA vão estar no foco dos investidores, numa semana em que saem os dados da inflação de junho e em que os bancos começam a reportar contas. No radar estará também a emissão do IGCP e os testes de stress à banca britânica.;0
União Europeia e Nova Zelândia assinam acordo de livre comércio;1
Diretor-geral da Cotec: Receio de serem prejudicadas inibe empresas de concorrer a benefício fiscal do patent box;-1
Relatório minoritário;0
Este tipo de relatórios minoritários, isto é, que são apenas subscritos por agentes de circunstância dificilmente conduzirão a novas maiorias.;0
Benefício fiscal por aposta em I&D só cativa 30 empresas;-1
Portugal tem um dos incentivos descritos como um dos mais competitivos da Europa para quem investir em atividades de Investigação e Desenvolvimento, mas a incerteza jurídica e falta de conhecimento e de informação tem redundado numa inibição muito grande das empresas, diz o diretor-geral da Cotec. Prova disso, diz Jorge Portugal, é que só 30 concorreram ao benefício fiscal proporcionado pelo chamado patent box.;1
UE e Nova Zelândia firmam acordo de livre comércio;1
Bruxelas espera que, com este acordo, as exportações da UE para a Nova Zelândia possam aumentar até 4.500 milhões de euros por ano, os investimentos europeus cresçam 80% e as empresas do bloco economizem 140 milhões de euros por ano.;1
Recuperação: número de turistas estrangeiros no Brasil cresce 108% em 2023;1
Cesta básica, remédios, streaming: o que muda com reforma tributária;0
Reforma tributária: veja o que executivos do Bradesco (BBDC4), Itaú (ITUB4), BTG (BPAC11) e outras empresas pensam sobre o projeto;0
Problema de crédito vai além dos juros altos, dizem empresários;-1
Demanda por alimentos vai crescer mais do que a oferta na próxima década, projeta OCDE;-1
Vivo (VIVT3), Tim (TIMS3) e Claro avaliam cobrar por tráfego de dados do WhatsApp e outros aplicativos;-1
MXRF11, HGLG11 e XPLG11: veja os 72 fundos imobiliários que pagam dividendos nesta semana;0
Petrobras (PETR4) conclui emissão bilionária de títulos de dívida;1
Gigante chinesa virá ao Brasil e pode ser a grande rival de Shein e Shoppe;1
XPLG11 anuncia maior dividendo de sua história e lucro mensal alcança os R$ 20,6 milhões;1
Agenda da semana: IPCA no Brasil e Livro Bege nos EUA movem o mercado;0
Após diversos dados do mercado de trabalho nos Estados Unidos e a votação da reforma tributária na Câmara no Brasil, a semana que chega traz mais indicadores relevantes.  O destaque da semana será o Livro Bege, que é um tipo de sumário referente às condições econômicas dos EUA e serve de base para as decisões;0
Um balanço do primeiro semestre de 2023;0
Acreditem ou não, chegamos à segunda metade do ano! A vida é um sopro, e 6 meses passam quase que num piscar de olhos, não é mesmo? No mercado, muita coisa aconteceu… Não vou fazer uma retrospectiva narrando fatos ocorridos, mas sim oferecer um olhar mais analítico sobre a precificação de ativos e a economia;0
Ibovespa fecha em alta com reforma tributária no radar do mercado;1
Além da reforma tributária, investidores do Ibovespa avaliaram dados do payroll que veio  abaixo do esperado pelo consenso;1
Novo Ensino Médio e a realidade dos jovens brasileiros;0
Nos últimos meses, a proposta da Base Nacional Comum Curricular (BNCC) a respeito do Novo Ensino Médio ganhou espaço na imprensa e nas conversas cotidianas – um bom indicador, por exemplo, é quando alguém na fila do supermercado está comentando o assunto. O fato de ser pauta na boca do povo é positivo, pois esse;1
Nelogica lança nova plataforma para investimentos internacionais;1
A nova plataforma da Nelogica já registrou 31 mil novos cadastros para testar a ferramenta e um total de 2,9 milhões de ordens simuladas;1
Carros Populares: Governo encerra descontos para carros leves;-1
Para caminhões, vans e ônibus incentivo ainda vigora;1
Aplicada a primeira multa por descumprimento à LGPD;1
Aprovada em 2018 e em vigor desde 2020, a Lei Geral de Proteção de Dados disciplina o o tratamento de dados pessoais, inclusive nos meios digitais. No entanto, as sanções previstas na Lei, que passaram a valer somente em agosto de 2021, somente foram regulamentadas pela Autoridade Nacional de Proteção de Dados (ANPD) em fevereiro;1
Ibovespa opera em alta com reforma tributária e payroll no radar;1
