token;sentimento
Supremo terá julgamentos decisivos no segundo semestre;0
Alphabet, Microsoft ou Meta? Itaú BBA elege nova preferida após resultados das três techs;0
Haddad: Troca de diretores nesse primeiro ano já vai arejar muito debate do Copom, que deveria reduzir Selic em 0,50;1
China perde espaço nas recomendações com dados decepcionantes ainda compensa investir no país?;-1
Juros do cheque especial registram alta em junho, aponta BC;-1
Reunião do Copom, “payroll” nos EUA, balanços de Petrobras, Bradesco e Apple: o que acompanhar na semana;0
Multiplan vê aceleração das vendas nos shoppings com melhoria da economia;1
Eternit (ETER3) troca de presidente para sair de recuperação judicial e planeja aquisições;1
Fávaro: Japão trabalhará junto com o Brasil para estruturar a conversão de pastagens degradadas;1
Haddad: Agenda de agosto da Câmara está alinhada com marco de garantias e marco fiscal;1
Ficou sabendo? FMI e Argentina firmam acordo expansão do BRICS;1
E mais: Juros reais não estão altos suficiente para frear IA, diz BofA.;-1
Bitcoin e ethereum tem expectativa otimista para o segundo semestre;1
Novo relatório da Fidelity Digital Assets não traz preço-alvo, mas fornece dados mais importantes que do que ele.;0
Resumão: deflação do IPCA-15, elevação de rating e Ibovespa marcam a semana;1
Programa também apresenta os números do fechamento do mercado.;0
Após S&P e Fitch, outras agências melhoram avaliação do Brasil;1
DBRS Morningstar elevou rating do país, enquanto Austin mudou perspectiva em moeda local para positiva.;1
Filme da Barbie quebra recordes e arrecada US$ 500 mi na 1ª semana;0
Filme teve o melhor fim de semana de estreia para a Warner Bros de todos os tempos em 24 países.;1
‘Anna Sorokin 2.0’: como bilionário fake  tentou entrar na lista da Forbes;0
Após investigação que durou quase um ano, a Forbes expôs um falso magnata que tentava entrar para a lista de bilionários da revista americana.;0
Mark Zuckerberg fica US$ 8,5 bi mais rico com disparada em ações da Meta;1
Após balanço, ações da Meta subiram na véspera para maior cotação desde fevereiro de 2022.;1
Multiplan sobe 4% após lucro analistas vêem 3º tri promissor para shoppings;1
Empresa entregou resultado positivo 43% maior bancos reiteram recomendação de compra.;1
Apesar de queda de VALE3 após balanço, analistas enxergam bons resultados;1
Na avaliação de casas de análise, apesar de lucro liquido da mineradora ter sido 78,2% menor no 2º trimestre do ano, negócio de metais básicos deve destravar valor para a companhia.;1
Ibovespa fecha quase estável na semana dólar recua mais de 1%;1
No dia, o mercado repercutiu dados de inflação nos Estados Unidos.;0
Conheça o programa da Jornada Mundial da Juventude;0
Dia a dia, hora a hora, saiba tudo o que vai acontecer no maior evento católico do mundo, que traz milhares de peregrinos a Portugal.;0
Há mais 190 candidatos a atirarem-se para a piscina da 42;0
Escola liderada por Pedro Santa Clara prepara mais um curso que se iniciará em outubro. Média de idade dos alunos é de 26 anos.;0
Adiar venda da TAP é bem-vindo se permitir mais candidatos, defende Marcelo;0
O Presidente da República respondia aos jornalistas sobre a estimativa do secretário de Estado das Finanças, ao Jornal de Negócios e Antena 1, de que a privatização da TAP fique concluída na primeira metade de 2024.;1
Onde se pode aprender a morrer?;0
Eis uma das minhas fixações: a morte. E, amigos, se é que me autorizam a expansão afectiva, tenho de ser mais exacto: a minha fixação fatal é a morte com classe.;0
Marcelo admite promulgar diploma sobre progressão dos professores;1
O Presidente da República afirma que o diploma que chegou a Belém preenche o mínimo que desejava para este dossier.;1
Quer ir a banhos sem o orçamento ir por água abaixo?;0
A carteira dos portugueses tem sofrido com a inflação: os preços avançaram tanto que retiraram valor ao salário real. Não quer isto dizer que não possa ir de férias. O segredo pode ser planear os gastos.;-1
Jezzus, uma pizzaria artesanal com produtos portugueses premium;0
No bairro dos Anjos, em Lisboa, abriu um restaurante com farinhas portuguesas e ingredientes de produtores locais, com as combinações mais improváveis (e tradicionais) de sempre.;0
Governo quer ter a venda da TAP fechada no primeiro semestre do próximo ano;1
Em setembro, o Conselho de Ministros irá aprovar o decreto-lei de privatização da companhia aérea e decidir quem são os investidores elegíveis para o processo que se prevê estar concluído em meados do próximo ano.;1
Avaliações financeiras à TAP derrapam para agosto;-1
Há duas consultoras a calcularem o valor da companhia aérea antes da venda. O Governo contava que estivessem prontas em julho, mas só estarão em agosto.;-1
JMJ: Controladas cerca de 673 mil pessoas e recusada a entrada a 115;0
Em relação ao dia anterior, foram controladas mais 85 mil pessoas e recusada a entrada a 21.;0
Trabalhadores da Portway iniciam greve;-1
Em causa está o cálculo do pagamento dos feriados em escala. A greve teve início à meia noite e prolonga-se até às 23:59 de segunda-feira.;-1
Como se parece um apartamento de luxo no centro de Lisboa?;0
Numa das avenidas mais premium da cidade, há um novo prédio que já vendeu quase todos os apartamentos, embora só esteja concluído no primeiro trimestre de 2024.;1
Dívida pública portuguesa vai ficar abaixo de 100% já em 2024;0
O Governo está mais otimista e prepara-se para rever em baixo as projeções para o rácio da dívida pública face ao PIB, segundo anunciou o secretário de Estado das Finanças, João Nuno Mendes, em entrevista ao Negócios e à Antena 1.;1
